"*Product Code","Channel","Notes"
"RKST11CW01","portal","This Studio Kit has the equipment you need to get your new REVL Training site ready to open - suitable for an 11 Cell Wall Mounted Rig configuration.

PLEASE READ CAREFULLY NOTES BELOW BEFORE SUBMITTING YOUR ORDER.

NOTE 1 - Equipment must be ordered at least 16 weeks from required Delivery Date.

NOTE 2 - 50% Deposit Payment is payable upfront. The date MasterKraft Pty Ltd receives this deposit will be your Order Confirmation Date.

NOTE 3 - Balance Payment is due the earlier of: (a) 8 weeks from Order Confirmation Date; (b) 8 weeks before your required Delivery Date; (c) any other date as determined by us in writing.

NOTE 4 - Logistics Charges is an """"Allowance"""" only and an additional invoice will be issued to reflect """"Actual"""" Logistics Charges when known (and post completion of a Delivery Information Form). A Logistics  Adjustment Invoice (when issued) is payable in full prior to delivery.

NOTE 5 – Flooring & Lighting are not included in the Studio Kit price. This need to be added to your order separately

NOTE 6 - Prices exclude any Local Taxes/VAT and Duty charges which are payable in your Country. Payment of these charges are required prior to delivery.

Package inclusions:
Your Wall Mounted Rig (11 Cell) studio kit includes:"
"RKST12CW01","portal","This Studio Kit has the equipment you need to get your new REVL Training site ready to open - suitable for a 12 Cell Wall Mounted Rig configuration.

PLEASE READ CAREFULLY NOTES BELOW BEFORE SUBMITTING YOUR ORDER.

NOTE 1 - Equipment must be ordered at least 16 weeks from required Delivery Date.

NOTE 2 - 50% Deposit Payment is payable upfront. The date MasterKraft Pty Ltd receives this deposit will be your Order Confirmation Date.

NOTE 3 - Balance Payment is due the earlier of: (a) 8 weeks from Order Confirmation Date; (b) 8 weeks before your required Delivery Date; (c) any other date as determined by us in writing.

NOTE 4 - Logistics Charges is an """"Allowance"""" only and an additional invoice will be issued to reflect """"Actual"""" Logistics Charges when known (and post completion of a Delivery Information Form). A Logistics  Adjustment Invoice (when issued) is payable in full prior to delivery.

NOTE 5 – Flooring & Lighting are not included in the Studio Kit price. This need to be added to your order separately

NOTE 6 - Prices exclude any Local Taxes/VAT and Duty charges which are payable in your Country. Payment of these charges are required prior to delivery.

Package inclusions:
Your Wall Mounted Rig (12 Cell) studio kit includes:"
"MBPB3I101","public","Introducing our 3-In-1 Foam Plyometric Box (34kg), the ultimate training tool for explosive and dynamic workouts. Perfect for box jumps, the Masterkraft 3-in-1 Foam Plyo Box combines safety and convenience with a simple flip to either side.

Each side displays easy to read height measurements. According to the three heights for each side of the plyometric box, athletes can perform box jumps without fear of scraping their shins and still have the security that this counterbalanced box will stay in place. On the inside is wooden reinforcement as well as a large rubber ball filled with iron sand, similar to a slam or dead ball. This stabilising mechanism creates a lower centre of gravity, resulting in a more stable box to jump on and land safely. The jump box is constructed of closed cell high density, impact-absorbing foam with a hard wearing vinyl casing. Choose from 20"", 24"" or 30"" heights by simply pushing from the top and tipping the box over. Push your limits and achieve new heights in your fitness journey."
"RBPB3I101","portal","Introducing our 3-In-1 Foam Plyometric Box (34kg), the ultimate training tool for explosive and dynamic workouts. Perfect for box jumps, the Masterkraft 3-in-1 Foam Plyo Box combines safety and convenience with a simple flip to either side.

Each side displays easy to read height measurements. According to the three heights for each side of the plyometric box, athletes can perform box jumps without fear of scraping .their shins and still have the security that this counterbalanced box will stay in place. On the inside is wooden reinforcement as well as a large rubber ball filled with iron sand, similar to a slam or dead ball. This stabilising mechanism creates a lower centre of gravity, resulting in a more stable box to jump on and land safely. The jump box is constructed of closed cell high density, impact-absorbing foam with a hard wearing vinyl casing. Choose from 20"", 24"" or 30"" heights by simply pushing from the top and tipping the box over. Push your limits and achieve new heights in your fitness journey.

- Easy 3-in-1 height change flip design
- Soft 'shin saving' edges
- Hard wearing black vinyl casing
- Wooden box covered with 75mm thick HD closed cell foam
- Counterbalanced with weighted rubber balls inside
- Reinforced with internal wooden cross supports"
"SBPB3I101","portal","Introducing our 3-In-1 Foam Plyometric Box (34kg), the ultimate training tool for explosive and dynamic workouts. Perfect for box jumps, the Masterkraft 3-in-1 Foam Plyo Box combines safety and convenience with a simple flip to either side.

Each side displays easy to read height measurements. According to the three heights for each side of the plyometric box, athletes can perform box jumps without fear of scraping their shins and still have the security that this counterbalanced box will stay in place. On the inside is wooden reinforcement as well as a large rubber ball filled with iron sand, similar to a slam or dead ball. This stabilising mechanism creates a lower centre of gravity, resulting in a more stable box to jump on and land safely. The jump box is constructed of closed cell high density, impact-absorbing foam with a hard wearing vinyl casing. Choose from 20"", 24"" or 30"" heights by simply pushing from the top and tipping the box over. Push your limits and achieve new heights in your fitness journey."
"MBPB3I102","public","Our 3-In-1 Wooden Plyometric Box is the ultimate training tool for explosive power and athleticism.

Crafted from sturdy wood, this versatile box features three different height options (20"", 24"", and 30"") to accommodate various fitness levels and exercises. The solid construction ensures stability and durability, while the smooth edges and non-slip surface provide safety and comfort. Whether for box jumps, step-ups, or decline push-ups, this plyometric box is perfect for elevating your plyometric training and enhancing your overall performance.

- Easy 3-in-1 height change flip design
- Pre-drilled machine cut for easy assembly
- Internal bracing for firm landings and maximum strength
- Choose from 20, 24 and 30"" heights
- Plywood with bevelled edges"
"SBPB3I102","portal","Our 3-In-1 Wooden Plyometric Box is the ultimate training tool for explosive power and athleticism.

Crafted from sturdy wood, this versatile box features three different height options (20"", 24"", and 30"") to accommodate various fitness levels and exercises. The solid construction ensures stability and durability, while the smooth edges and non-slip surface provide safety and comfort. Whether for box jumps, step-ups, or decline push-ups, this plyometric box is perfect for elevating your plyometric training and enhancing your overall performance.

- Easy 3-in-1 height change flip design
- Pre-drilled machine cut for easy assembly
- Internal bracing for firm landings and maximum strength
- Choose from 20, 24 and 30"" heights
- Plywood with bevelled edges"
"MBCTMA01","public","Discover the ultimate core-enhancing solution with our Abdominal Mat! Crafted from durable molded polyurethane, this exercise equipment offers unbeatable support for your lower back while allowing a greater range of motion during workouts.

Its portable, lightweight, and compact design make it the perfect companion for on-the-go fitness. Enjoy comfortable and stable ab exercises anywhere, anytime. Elevate your core training with this essential tool and sculpt a stronger, healthier you. Don't miss out on this fantastic addition to your fitness routine!

- Durable molded polyurethane
- Provides support for the lower back and greater range of motion
- Portable, lightweight and compact
- Comfortable and stable"
"RBCTMA01","portal","Discover the ultimate core-enhancing solution with our Abdominal Mat! Crafted from durable high density foam, this exercise equipment offers unbeatable support for your lower back while allowing a greater range of motion during workouts.

Its portable, lightweight, and compact design make it the perfect companion for on-the-go fitness. Enjoy comfortable and stable ab exercises anywhere, anytime. Elevate your core training with this essential tool and sculpt a stronger, healthier you. Don't miss out on this fantastic addition to your fitness routine!

- High density foam
- Provides support for the lower back and greater range of motion
- Portable, lightweight and compact
- Comfortable and stable"
"SBCTMA01","portal","Discover the ultimate core-enhancing solution with our Abdominal Mat! Crafted from durable molded polyurethane, this exercise equipment offers unbeatable support for your lower back while allowing a greater range of motion during workouts.

Its portable, lightweight, and compact design make it the perfect companion for on-the-go fitness. Enjoy comfortable and stable ab exercises anywhere, anytime. Elevate your core training with this essential tool and sculpt a stronger, healthier you. Don't miss out on this fantastic addition to your fitness routine!

- Durable molded polyurethane
- Provides support for the lower back and greater range of motion
- Portable, lightweight and compact
- Comfortable and stable"
"MBCTWH01","public","Get ready to strengthen and sculpt your core with our Abdominal Wheel. This compact and versatile fitness tool is designed to target your abs, obliques, and back muscles effectively.

The Ab Wheel offers a genuine abdominal workout activating multiple muscle groups throughout the torso. Ab wheels are a really effective piece of fitness equipment if used correctly. Users should take caution when beginning to use this ab wheel by rolling the wheel only as far away from your body as you can handle without arching your back. As you become stronger in your core muscle chain you will eventually be able to work your way further out and back safely. Eventually as you become even stronger you can work towards starting the roll from your feet instead of your knees. To achieve the quality that Masterkraft demands from every piece of fitness equipment in our range, our Ab Wheel is made from high grade PP and TPR materials. A strong metal bar pushes through the centre of a moulded wheel that is textured for durability and grip. The handles are made from rubber foam for maximum comfort and to reduce the possibility of slipping. The result is a product offering a sturdy construction and ergonomic design, providing stability and comfort during workouts. Roll your way to a stronger core and enhanced overall fitness with this essential exercise product."
"SBCTWH01","portal","Get ready to strengthen and sculpt your core with our Abdominal Wheel. This compact and versatile fitness tool is designed to target your abs, obliques, and back muscles effectively.

The Ab Wheel offers a genuine abdominal workout activating multiple muscle groups throughout the torso. Ab wheels are a really effective piece of fitness equipment if used correctly. Users should take caution when beginning to use this ab wheel by rolling the wheel only as far away from your body as you can handle without arching your back. As you become stronger in your core muscle chain you will eventually be able to work your way further out and back safely. Eventually as you become even stronger you can work towards starting the roll from your feet instead of your knees. To achieve the quality that Masterkraft demands from every piece of fitness equipment in our range, our Ab Wheel is made from high grade PP and TPR materials. A strong metal bar pushes through the centre of a moulded wheel that is textured for durability and grip. The handles are made from rubber foam for maximum comfort and to reduce the possibility of slipping. The result is a product offering a sturdy construction and ergonomic design, providing stability and comfort during workouts. Roll your way to a stronger core and enhanced overall fitness with this essential exercise product."
"MSLBSE03","public","Target and strengthen specific muscle groups in the hips and thighs with our Ab/Back Extension Machine Pro (Selectorize).

The abductor machine primarily targets the muscles responsible for moving your legs away from the midline of your body, which is known as abduction. It works the outer thigh muscles, including the tensor fasciae latae and the gluteus medius and minimus. The adductor machine, on the other hand, targets the muscles responsible for bringing your legs toward the midline of your body, which is known as adduction. It primarily works the inner thigh muscles, including the adductor longus, adductor magnus, and adductor brevis. With its user-friendly selectorized system, adjustable seat, and padded support, it ensures proper form and comfort during leg curl exercises. Elevate your strength training routine with this durable and efficient machine.

- The MasterKraft Pro Strength Line represents the absolute best value full commercial rated strength pieces available on the market today
- Expert biomechanics ensure controlled, natural movement, providing an enjoyable experience for all users
- Articulating seats adjust at an angle to ensure optimum positioning and effectiveness for exercisers of all sizes
- Sleek design and quality materials combine for impressive aesthetics.
- Adjustment dials and knobs have a large diameter and are colour coded for easy use and recognition. Seats can also be adjusted with one-hand operation
- 220lb weights stack with 25mm machined cast weight plates"
"RSWBFW02","portal","Introducing our Adjustable Utility Weight Bench, the ultimate fitness companion for your home or commercial gym.

This versatile bench offers multiple incline positions, allowing you to target different muscle groups with precision. With sturdy construction and comfortable padding, it provides stability and support for a variety of exercises. Elevate your workouts and achieve your fitness goals with this exceptional adjustable weight bench.

- The perfect utility bench for commercial gyms, group and high performance training environments
- Backrest positions- 0, 30, 45, 65 degrees, Seat positions- 0, 5, 22 degrees
- Four back rest and three seat positions
- Transport wheels for ease of movement
- Rated to 400kg"
"SSWBFW02","portal","Introducing our Adjustable Utility Weight Bench, the ultimate fitness companion for your home or commercial gym.

This versatile bench offers multiple incline positions, allowing you to target different muscle groups with precision. With sturdy construction and comfortable padding, it provides stability and support for a variety of exercises. Elevate your workouts and achieve your fitness goals with this exceptional adjustable weight bench.

- The perfect utility bench for commercial gyms, group and high performance training environments
- Backrest positions- 0, 30, 45, 65 degrees, Seat positions- 0, 5, 22 degrees
- Four back rest and three seat positions
- Transport wheels for ease of movement
- Rated to 400kg"
"MSWBFW02","public","Introducing our Adjustable Utility Weight Bench, the ultimate fitness companion for your home or commercial gym.

This versatile bench offers multiple incline positions, allowing you to target different muscle groups with precision. With sturdy construction and comfortable padding, it provides stability and support for a variety of exercises. Elevate your workouts and achieve your fitness goals with this exceptional adjustable weight bench.

- The perfect utility bench for commercial gyms, group and high performance training environments
- Backrest positions- 0, 30, 45, 65 degrees, Seat positions- 0, 5, 22 degrees
- Four back rest and three seat positions
- Transport wheels for ease of movement
- Rated to 400kg"
"MCBIAR01","public","Experience the ultimate cardio workout with the Air Bike Classic, a powerful exercise bike designed to push your limits. Built on a robust 49.5 kg frame made from 30 x 60mm oval steel tubes, this bike is built to last and withstand your most intense training sessions.

The heavy-duty 27"" fan ensures smooth and efficient pedaling while offering a challenging full-body workout.

Stay connected and monitor your progress with optional Bluetooth and Ant+ connectivity, and enhance your heart rate monitoring with compatible 5kHz chest belts.

With an ergonomic, sweat-proof seat featuring 11 height settings, flexible sliding front-to-back adjustments, and tilt functionality, you can enjoy a comfortable and customized ride. The Air Bike Classic accommodates a maximum user weight of 159 kg, making it suitable for users of various fitness levels. Elevate your cardio fitness with this exceptional exercise bike today.

- Heavy 49.5 kg frame using 30 x 60mm oval steel tube
- Heavy duty 27"" fan
- Connectivity: Bluetooth & Ant+ optional
- Compatible with 5kHz chest belts
- Ergonomic sweat proof seat with 11 height settings, flexible sliding front-to-back settings and tilt
- Maximum user weight 159kg"
"MCBIAR03","public","Elevate your fitness experience with the Air Bike Elite, a robust and versatile exercise bike designed for exceptional performance. Built on a heavy 79 kg frame constructed from 32 x 60mm oval steel tubes, this bike is built to withstand intense workouts, making it suitable for users of all fitness levels. The belt-driven 27"" fan ensures a smooth and efficient ride while offering a challenging full-body workout.

Stay connected and track your progress effortlessly with Bluetooth and Ant+ connectivity. The Air Bike Elite features a multi-grip padded handle that guarantees a secure and comfortable grip during your workouts. Plus, the extra padding and micro-adjustments for seat height and position via a lever ensure maximum comfort and customization.

With the Air Bike Elite, you'll enjoy a premium workout experience that can help you achieve your fitness goals while keeping you comfortable and engaged.

- Large HIIT console with Smart Connect technology
- Magnetic resistance levels - 8
- Heavy 79 kg frame using 32 x 60mm oval steel tube
- Belt driven heavy duty 27"" fan
- Connectivity: Bluetooth & Ant+
- Multi Grip Padded Handle Ensures a Firm and Comfortable Grip"
"MCBIAR02","public","Experience the ultimate air bike performance with our Air Bike Pro, including the Smart Connect Console.

This bike features a dual-action design that engages both the upper and lower body simultaneously. With adjustable resistance, comfortable seat, and durable construction, it offers a smooth and challenging ride. Get ready to burn calories and improve your cardiovascular fitness with the Air Bike.

- Magnetic resistance levels - 8
- Heavy 51.92 kg frame using 31 x 60mm oval steel tube
- Heavy duty 27"" fan
- Connectivity: Bluetooth & Ant+ optional
- Compatible with 5kHz chest belts
- Ergonomic sweat proof seat with 11 height settings, flexible sliding front-to-back settings and tilt"
"MCBIAR05","public","Elevate your fitness regimen with the Air Cycle Elite, a top-tier exercise bike designed to deliver exceptional performance and customization. Featuring a robust 57.6 kg frame, this bike is built to endure rigorous workouts, making it suitable for both novice and advanced users. With a dynamic combination of air and magnetic resistance, you can choose from 10 air resistance levels and an extra 8 magnetic resistance settings to tailor your workout intensity precisely.

Stay connected and track your progress effortlessly with Bluetooth and Ant+ apps, and enhance your heart rate monitoring with compatible 5kHz chest belts. The micro-adjustable, ergonomic seat ensures a comfortable fit, while the Smart Connect Console offers extensive adjustability, including 30 height positions, a 270-degree angle range, and 19.2 cm fore/aft adjustment.
 

 Experience the future of home fitness with the Air Cycle Elite, providing unmatched versatility and performance to help you achieve your fitness goals."
"MCBIAR04","public","Unleash your fitness potential with the Air Cycle Pro, featuring a heavy-duty 57.6 kg frame that's built to withstand the toughest workouts. This exercise bike combines the best of air and magnetic resistance, offering 10 levels of air resistance along with an additional 8 levels of magnetic resistance. Whether you're a beginner or an elite athlete, you can customize your workout intensity to match your fitness goals.

Stay connected and track your progress with Bluetooth and Ant+ apps, and enhance your heart rate monitoring with compatible 5kHz chest belts. The micro-adjustable, ergonomic seat ensures a comfortable and tailored fit, while the console boasts incredible adjustability with 30 height positions, a 270-degree angle range, and 19.2 cm fore/aft adjustment.

With the Air Cycle Pro, you have the power to take your cardio workouts to the next level while enjoying a comfortable and customizable riding experience. Elevate your fitness journey with this exceptional exercise bike today.

- Heavy 57.6 kg frame
- Air resistance - 10 levels plus an additional 8 levels of magnetic resistance
- Connectivity: Bluetooth & Ant+ optional
- Compatible with 5kHz chest belts
- Micro adjustable, ergonomic seat
- Console adjustment - height 30 positions, angle 270 degrees, fore/aft 19.2cms"
"MCRWAR03","public","Immerse yourself in an intense full-body workout with our Air Rowing Machine.

Designed for optimal performance, this machine utilizes air resistance to simulate the feel of rowing on water. With adjustable resistance levels, ergonomic seat, and a clear display, it offers a challenging and engaging rowing experience. Take your fitness journey to new heights with this exceptional rowing machine.

- Large HIIT console with Smart Connect technology
- Magnetic resistance levels - 8
- Heavy 51.92 kg frame using 31 x 60mm oval steel tube
- Heavy duty 27"" fan
- Connectivity: Bluetooth & Ant+
- Compatible with 5kHz chest belts"
"MCRWAR01","public","Experience the pinnacle of rowing with the Air Rower Pro, an exercise equipment marvel. Built on a heavy 49.5 kg frame, constructed from 30 x 60mm oval steel tubes, this rower is a sturdy and reliable companion for your fitness journey. The heavy-duty 27"" fan ensures a smooth and challenging workout while maintaining a compact footprint.

Stay connected and track your progress with optional Bluetooth and Ant+ connectivity. For precise heart rate monitoring, the Air Rower Pro is compatible with 5kHz chest belts. The ergonomic sweat-proof seat offers 11 height settings, flexible sliding front-to-back adjustments, and tilt, ensuring a comfortable fit for users of all sizes.
 

 With a maximum user weight of 159 kg, the Air Rower Pro is designed to accommodate various fitness levels and help you reach your fitness goals effectively."
